ChainId,Name,Symbol,Decimals,TokenAddress
1,Wrapped Ether,WETH,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
1,Tether USD,USDT,6,0xdAC17F958D2ee523a2206206994597C13D831ec7
1,USD Coin,USDC,6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
1,ERC721Pepe,MCPEPES,0,0x3Cf314571Da3e56EAeE61aF2B30af56f75D3A602
1,Blur Pool,,18,0x0000000000A39bb272e79075ade125fd351887Ac
1,Prime,PRIME,18,0xb23d80f5FefcDDaa212212F028021B41DEd428CF
1,ApeCoin,APE,18,0x4d224452801ACEd8B2F0aebE155379bb5D594381
1,Meta Masters Guild,MEMAG,18,0x6E39A587691b8c9D4341cE0A960998ED6F537AF6
1,Base Introduced,BASEINTRODUCED,0,0xD4307E0acD12CF46fD6cf93BC264f5D5D1598792
1,Livepeer Token,LPT,18,0x58b6A8A3302369DAEc383334672404Ee733aB239
1,Dai Stablecoin,DAI,18,0x6B175474E89094C44Da98b954EedeAC495271d0F
1,ZigZag,ZZ,18,0xC91a71A1fFA3d8B22ba615BA1B9c01b2BBBf55ad
1,HEX,HEX,8,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39
1,AIPAD.tech,AIPAD,18,0xE55d97A97ae6A17706ee281486E98A84095d8AAf
1,MegaPunksPOP,MP,0,0xf7479F9527c57167caff6386DAA588B7BF05727f
1,Copium Wars Slayers,!SLAY,0,0x3853Ec5742DF47A6d7bAFEb19C4716a9eEdf8fC4
1,MG Land,MGLand,0,0xE75512aA3bec8f00434bBD6Ad8b0A3FbFF100AD6
1,SHIBA INU,SHIB,18,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
1,Matic Token,MATIC,18,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
1,XEN Crypto,XEN,18,0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8
1,McPepes,PEPES,18,0x6BF765C43030387a983f429c1438e9D2025B7E12
1,X2E_SIDEKICKS_Ropi,ROPI,0,0x051D93C5CCaF5DBd11bf3c747F935C1E1c310b1D
